UID         PID   PPID  C STIME TTY          TIME CMD
root        765      1  0 15:34 ?        00:00:00 /usr/bin/python2 -Es /usr/sbin/firewalld --nofork --nopid
root        770      1  0 15:34 ?        00:00:00 /bin/bash /usr/sbin/ksmtuned
root        878      1  0 15:34 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       1129      1  0 15:34 ?        00:00:00 /usr/sbin/cupsd -f
root       1131      1  0 15:34 ?        00:00:02 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root       1134      1  0 15:34 ?        00:00:00 /usr/sbin/sshd -D
root       1135      1  0 15:34 ?        00:00:01 /usr/sbin/rsyslogd -n
root       1144      1  0 15:34 ?        00:00:01 /usr/sbin/libvirtd
root       1158      1  0 15:34 ?        00:00:00 /usr/sbin/atd -f
root       1163      1  0 15:34 ?        00:00:00 /usr/sbin/crond -n
root       1164      1  0 15:34 ?        00:00:00 /usr/sbin/gdm
root       1192   1164  0 15:34 tty1     00:00:51 /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-ILz59w/database -seat seat0 -nolisten tcp vt1
nobody     1338      1  0 15:34 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root       1339   1338  0 15:34 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root       1422      1  0 15:34 ?        00:00:00 /usr/libexec/postfix/master -w
postfix    1438   1422  0 15:34 ?        00:00:00 qmgr -l -t unix -u
root       1610      1  0 15:34 ?        00:00:00 /usr/libexec/upowerd
root       1669      1  0 15:34 ?        00:00:00 /usr/libexec/boltd
root       1679      1  0 15:34 ?        00:00:00 /usr/sbin/wpa_supplicant -u -f /var/log/wpa_supplicant.log -c /etc/wpa_supplicant/wpa_supplicant.conf -P /var/run/wpa_supplicant.pid
root       1680      1  0 15:34 ?        00:00:00 /usr/libexec/packagekitd
colord     1761      1  0 15:34 ?        00:00:00 /usr/libexec/colord
root       1882   1164  0 15:38 ?        00:00:00 gdm-session-worker [pam/gdm-password]
Thing      1895      1  0 15:38 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
Thing      1906   1882  0 15:38 ?        00:00:00 /usr/libexec/gnome-session-binary --session gnome-classic
Thing      1917      1  0 15:38 ?        00:00:00 dbus-launch --sh-syntax --exit-with-session
Thing      1918      1  0 15:38 ?        00:00:01 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
Thing      1945      1  0 15:38 ?        00:00:00 /usr/libexec/imsettings-daemon
Thing      1949      1  0 15:38 ?        00:00:00 /usr/libexec/gvfsd
Thing      1954      1  0 15:38 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
Thing      2036   1906  0 15:38 ?        00:00:00 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/bash -c "env GNOME_SHELL_SESSION_MODE=classic gnome-session --session gnome-classic"
Thing      2054      1  0 15:38 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
